Questions,Correct_Answer,Inputted_Answer,Result
9x + 16 = 65,5.44,5.44,Correct
9x + 7 = 20,1.44,NaN,Skipped
1x + 8 = 34,26.0,26.0,Correct
8x + 8 = 37,3.62,3.11,Incorrect
6x + 12 = 59,7.83,NaN,Skipped
5x + 15 = 20,1.0,1.83,Incorrect
3x + 3 = 72,23.0,NaN,Skipped
2x + 14 = 15,0.5,8.65,Incorrect
7x + 7 = 3,-0.57,2.61,Incorrect
9x + 4 = 27,2.56,8.91,Incorrect
6x + 13 = 13,0.0,-7.94,Incorrect
4x + 14 = 60,11.5,2.66,Incorrect
7x + 14 = 5,-1.29,4.23,Incorrect
8x + 15 = 36,2.62,NaN,Skipped
3x + 10 = 38,9.33,10.95,Incorrect
1x + 8 = 79,71.0,71.0,Correct
4x + 1 = -8,-2.25,NaN,Skipped
2x + 10 = 77,33.5,33.5,Correct
3x + 1 = 53,17.33,NaN,Skipped
1x + 6 = -2,-8.0,NaN,Skipped
2x + 15 = 78,31.5,NaN,Skipped
6x + 18 = 39,3.5,NaN,Skipped
6x + 8 = 75,11.17,NaN,Skipped
1x + 9 = 38,29.0,NaN,Skipped
2x + 18 = 79,30.5,NaN,Skipped
4x + 20 = 12,-2.0,NaN,Skipped
5x + 18 = 86,13.6,NaN,Skipped
8x + 13 = 55,5.25,NaN,Skipped
6x + 19 = 29,1.67,NaN,Skipped
5x + 18 = 15,-0.6,NaN,Skipped
9x + 2 = -3,-0.56,NaN,Skipped
5x + 13 = -4,-3.4,NaN,Skipped
1x + 11 = 7,-4.0,-4.0,Correct
2x + 16 = 33,8.5,NaN,Skipped
6x + 4 = 48,7.33,NaN,Skipped
9x + 8 = 29,2.33,NaN,Skipped
8x + 17 = -4,-2.62,NaN,Skipped
4x + 16 = 19,0.75,NaN,Skipped
5x + 12 = 69,11.4,11.4,Correct
7x + 8 = 31,3.29,NaN,Skipped
2x + 18 = 85,33.5,41.17,Incorrect
2x + 8 = 78,35.0,35.62,Incorrect
6x + 11 = 87,12.67,NaN,Skipped
10x² + -3x + -4 = 0,"(0.8, -0.5)",NaN,Skipped
2x² + 8x + 3 = 0,"('-0.42 , ', -3.58)",NaN,Skipped
6x² + -1x + -5 = 0,"('1.0 , ', -0.83)",NaN,Skipped
8x² + -8x + 1 = 0,"(0.85, 0.15)",NaN,Skipped
9x + 13 = 51,4.22,4.55,Incorrect
3x + 20 = -4,-8.0,NaN,Skipped
6x + 7 = 3,-0.67,NaN,Skipped
1x + 16 = 11,-5.0,NaN,Skipped
2x + 16 = 43,13.5,NaN,Skipped
4x + 8 = -6,-3.5,NaN,Skipped
2x + 9 = 20,5.5,5.5,Correct
2x + 3 = 60,28.5,NaN,Skipped
7x² + -4x + 0 = 0,"(0.57, 0.0)",0.0,Incorrect
2x² + -7x + 2 = 0,"(3.19, 0.31)",3.19,Incorrect
1x² + -7x + 1 = 0,"(6.85, 0.15)",6.69,Incorrect
4x² + 5x + -2 = 0,"(0.32, -1.57)",-1.93,Incorrect
8x² + -3x + -4 = 0,"(0.92, -0.54)",-1.51,Incorrect
7x² + 8x + 1 = 0,"(-0.14, -1.0)",NaN,Skipped
1x + 17 = 26,9.0,9.0,Correct
9x + 3 = 62,6.56,NaN,Skipped
3x² + 9x + 4 = 0,"(-0.54, -2.46)",-2.46,Correct
5x² + 7x + 2 = 0,"(-0.4, -1.0)",-3.36,Incorrect
6x² + -5x + 0 = 0,"(0.83, 0.0)",0.0,Correct
4x² + 7x + 0 = 0,"(0.0, -1.75)",-1.2,Incorrect
1x² + -4x + 2 = 0,"(3.41, 0.59)",0.59,Correct
3x² + -3x + -4 = 0,"(1.76, -0.76)",-0.32,Incorrect
1x² + -7x + 0 = 0,"(7.0, 0.0)",NaN,Skipped
6x + 12 = 79,11.17,7.86,Incorrect
5x + 13 = 82,13.8,3.85,Incorrect
5x + 4 = 18,2.8,NaN,Skipped
6x + 17 = 5,-2.0,-2.0,Correct
2x + 1 = -4,-2.5,-2.5,Correct
1x + 12 = 1,-11.0,-10.2,Incorrect
7x + 16 = 62,6.57,NaN,Skipped
9x + 5 = 8,0.33,0.33,Correct
9x + 13 = 74,6.78,NaN,Skipped
5x + 7 = 83,15.2,11.78,Incorrect
1x + 20 = 28,8.0,10.87,Incorrect
3x² + -1x + -1 = 0,"(0.77, -0.43)",0.77,Correct
3x² + 1x + -4 = 0,"(1.0, -1.33)",-0.11,Incorrect
2x² + 10x + -4 = 0,"(0.37, -5.37)",0.37,Correct
2x² + -10x + 3 = 0,"(4.68, 0.32)",4.68,Correct
4x² + 2x + 0 = 0,"(0.0, -0.5)",-0.5,Correct
6x - 17 = 22,6.5,2.08,Incorrect
2x - 17 = 48,32.5,38.75,Incorrect
3x + 11 = -4,-5.0,-1.51,Incorrect
5x + 3 = 11,1.6,NaN,Skipped
1x² + 5x + (5) = 0,"(0.85, -5.85)",-5.85,Correct
6x² + 2x + (2) = 0,"(0.43, -0.77)",-3.04,Incorrect
10x² + 7x + (5) = 0,"(0.44, -1.14)",-1.14,Correct
7x² - 8x - (2) = 0,"(1.35, -0.21)",0.29,Incorrect
6x² + 8x + (1) = 0,"(-0.14, -1.19)",NaN,Skipped
